State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita,LitRate,Annual Rainfall,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly,Total Area,Total Production,Total Yield,Most Cultivated Crop,MC Area,MC Production,MC Yield,Net State Domestic Product,Per Capita Income,Decadal Growth ,Rural Population ,Value Added by Agriculture
Andhra Pradesh,2003,By Consuming Insecticides,Male,0-14,52,77884.20000000001,0.0006676578818296,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Female,15-29,573,77884.20000000001,0.0073570762747771,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Male,15-29,861,77884.20000000001,0.0110548737741416,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Female,30-44,433,77884.20000000001,0.0055595358236972,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Male,30-44,1164,77884.20000000001,0.0149452648932646,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Female,45-59,231,77884.20000000001,0.0029659417442818,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Male,45-59,634,77884.20000000001,0.0081402903284619,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Female,60+,64,77884.20000000001,0.0008217327776365,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2003,By Consuming Insecticides,Male,60+,181,77884.20000000001,0.0023239630117533,61.908,2785.5,0.38325,0.2919583333333333,0.2279583333333333,11279160.0,1230375366.0,165713.85,Rice,2974638.0,8952802.0,118.8,134748.52,17340.0,13.892,55593.2,31013.04
Andhra Pradesh,2004,By Consuming Insecticides,Female,0-14,61,78721.30000000002,0.0007748855773469,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Male,0-14,30,78721.30000000002,0.0003810912675476,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Female,15-29,702,78721.30000000002,0.0089175356606153,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Male,15-29,946,78721.30000000002,0.012017077970003,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
