Year,State,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly
2010,Uttar Pradesh,0.5363333333333333,0.354125,0.298375
2011,Uttar Pradesh,0.17595833333333333,0.3157083333333333,0.318625
2012,Uttar Pradesh,0.2569166666666667,0.23491666666666666,0.33666666666666667
2001,West Bengal,0.31895833333333334,0.25733333333333336,0.247125
2002,West Bengal,0.31283333333333335,0.26491666666666663,0.28275
2003,West Bengal,0.2604166666666667,0.32258333333333333,0.30495833333333333
2004,West Bengal,0.29550000000000004,0.3402083333333334,0.3150833333333333
2005,West Bengal,0.4552083333333334,0.3389166666666667,0.35429166666666667
2006,West Bengal,0.4101666666666666,0.35341666666666666,0.36520833333333336
2007,West Bengal,0.3172916666666667,0.40275,0.3577083333333333
2008,West Bengal,0.336,0.417375,0.35791666666666666
2009,West Bengal,0.5430833333333333,0.3834166666666667,0.3665
2010,West Bengal,0.5367083333333333,0.3894583333333333,0.3657916666666667
2011,West Bengal,0.2763333333333333,0.3829166666666666,0.3875416666666667
2012,West Bengal,0.34508333333333335,0.35200000000000004,0.41183333333333333
