State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita,LitRate,Annual Rainfall,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly,Total Area,Total Production,Total Yield,Most Cultivated Crop,MC Area,MC Production,MC Yield,Net State Domestic Product,Per Capita Income,Decadal Growth ,Rural Population ,Value Added by Agriculture
Andhra Pradesh,2001,By Consuming Other Poison,Male,15-29,352,76210.0,0.0046188164282902,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Jumping from (Other sites),Male,15-29,7,76210.0,9.18514630625902e-05,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By touching electric wires,Male,15-29,10,76210.0,0.0001312163758037,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Overdose of sleeping pills,Male,15-29,9,76210.0,0.0001180947382233,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Drowning,Male,15-29,114,76210.0,0.0014958666841621,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Jumping from (Other sites),Male,30-44,5,76210.0,6.560818790185015e-05,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Drowning,Male,30-44,139,76210.0,0.0018239076236714,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Over Alcoholism,Male,30-44,19,76210.0,0.000249311114027,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By Consuming Insecticides,Male,30-44,701,76210.0,0.0091982679438393,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
Andhra Pradesh,2001,By touching electric wires,Male,30-44,19,76210.0,0.000249311114027,60.47,2856.1,0.2767916666666666,0.2541666666666666,0.2368749999999999,11713392.0,1164617323.0,167031.13,Rice,3824747.0,11389791.0,124.37,126034.65,16574.0,14.59,55401.0,35911.74
